when,href,area,price,long,lat
Prodáno 1. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.09089461386206%2C14.47190471096496%5D%2C%22unit%22%3A%2221707839-1704-23%22%2C%22text%22%3A%22Kon%C4%9Bvova%201704%2F136%2C%20Praha%22%7D,"Byt 2+1, 50 m2","5 450 000 Kč
109 000 Kč/m2",14.4719047109649,50.09089461386206
Prodáno 1. 7. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.06708170086823%2C14.409589922420414%5D%2C%22unit%22%3A%2221923370-1372-1%22%2C%22text%22%3A%22Svornosti%201372%2F3%2C%20Praha%22%7D,"Byt 2+1, 55 m2","5 700 000 Kč
103 636 Kč/m2",14.4095899224204,50.06708170086823
Prodáno 29. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.93231025353319%2C14.011819044026545%5D%2C%22unit%22%3A%2254329248-246-202%22%2C%22text%22%3A%22Na%20Vyhl%C3%ADdce%20246%2C%20Kr%C3%A1l%C5%AFv%20Dv%C5%AFr%22%7D,"Byt 3+kk, 59 m2","4 950 000 Kč
83 898 Kč/m2",14.0118190440265,49.93231025353319
Prodáno 29. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.87526641744603%2C14.903527489906732%5D%2C%22unit%22%3A%2211452951-306-1%22%2C%22text%22%3A%22Skl%C3%A1%C5%99sk%C3%A1%20306%2C%20S%C3%A1zava%22%7D,"Byt 2+1, 62 m2","3 800 000 Kč
61 290 Kč/m2",14.9035274899067,49.87526641744603
Prodáno 29. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.20919987346174%2C14.843331574921217%5D%2C%22unit%22%3A%2218174469-1463-6%22%2C%22text%22%3A%22S%C3%ADdli%C5%A1t%C4%9B%201462%2F36%2C%20Lys%C3%A1%20nad%20Labem%22%7D,"Byt 2+kk, 42 m2","4 450 000 Kč
105 952 Kč/m2",14.8433315749212,50.20919987346174
Prodáno 28. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.232358746143504%2C14.082212136517972%5D%2C%22unit%22%3A%225999740-186-5%22%2C%22text%22%3A%22T%C5%99eb%C3%ADzsk%C3%A9ho%20186%2F20%2C%20Slan%C3%BD%22%7D,"Byt 1+kk, 45 m2","3 990 500 Kč
89 674 Kč/m2",14.082212136517,50.232358746143504
Prodáno 28. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.138624154256334%2C14.106930862459247%5D%2C%22unit%22%3A%221439235-3156-5%22%2C%22text%22%3A%22Bene%C5%A1ovsk%C3%A1%203156%2C%20Kladno%22%7D,"Byt 1+kk, 30 m2","2 590 000 Kč
86 913 Kč/m2",14.106930862459,50.138624154256334
Prodáno 24. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.42705585111437%2C14.909954343539107%5D%2C%22unit%22%3A%2221008493-957-4%22%2C%22text%22%3A%22U%20stadionu%20957%2C%20Mlad%C3%A1%20Boleslav%22%7D,"Byt 2+1, 64 m2","3 790 000 Kč
59 498 Kč/m2",14.9099543435391,50.42705585111437
Prodáno 22. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.0257867135144%2C14.453099472927912%5D%2C%22unit%22%3A%2221756961-1165-31%22%2C%22text%22%3A%22Bernol%C3%A1kova%201165%2F3%2C%20Praha%22%7D,"Byt 3+1, 62 m2","5 850 000 Kč
94 660 Kč/m2",14.45309947292791,50.0257867135144
Prodáno 22. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.07242612198037%2C14.393733663607255%5D%2C%22unit%22%3A%2221912602-165-2%22%2C%22text%22%3A%22Na%20%C4%8Ce%C4%8Deli%C4%8Dce%20165%2F2%2C%20Praha%22%7D,"Byt 2+kk, 54 m2","7 295 000 Kč
135 847 Kč/m2",14.3937336636072,50.07242612198037
Prodáno 22. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B49.97952086939662%2C14.505634467292788%5D%2C%22unit%22%3A%2225512897-396-15%22%2C%22text%22%3A%22Okru%C5%BEn%C3%AD%20396%2C%20Vestec%22%7D,"Byt 3+kk, 70 m2","6 700 000 Kč
95 714 Kč/m2",14.5056344672927,49.97952086939662
Prodáno 22. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.23211064381065%2C14.080186661578043%5D%2C%22unit%22%3A%226004270-812-12%22%2C%22text%22%3A%22Kreibichova%20812%2F6%2C%20Slan%C3%BD%22%7D,"Byt 2+kk, 53 m2","3 400 000 Kč
64 151 Kč/m2",14.080186661578,50.23211064381065
Prodáno 21. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.035405840018306%2C14.422423903523521%5D%2C%22unit%22%3A%2221815437-1573-16%22%2C%22text%22%3A%22Branick%C3%A1%201572%2F116%2C%20Praha%22%7D,"Byt 1+kk, 31 m2","4 000 000 Kč
131 148 Kč/m2",14.422423903523,50.035405840018306
Prodáno 21. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.09475312736542%2C14.466376492764994%5D%2C%22unit%22%3A%2222217690-611-30%22%2C%22text%22%3A%22U%20Sluncov%C3%A9%20611%2F19%2C%20Praha%22%7D,"Byt 3+kk, 76 m2","7 777 000 Kč
102 194 Kč/m2",14.4663764927649,50.09475312736542
Prodáno 21. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.01440700039556%2C14.428323708898722%5D%2C%22unit%22%3A%2221549672-877-12%22%2C%22text%22%3A%22Dobevsk%C3%A1%20877%2F4%2C%20Praha%22%7D,"Byt 3+1, 76 m2","6 550 000 Kč
86 184 Kč/m2",14.4283237088987,50.01440700039556
Prodáno 17. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.28165860630031%2C14.30906775295839%5D%2C%22unit%22%3A%226145019-26-2%22%2C%22text%22%3A%22N%C3%A1dra%C5%BEn%C3%AD%2026%2C%20Nelahozeves%22%7D,"Byt 2+1, 64 m2","4 090 000 Kč
63 807 Kč/m2",14.3090677529583,50.28165860630031
Prodáno 17. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.07282072064774%2C14.390782980339566%5D%2C%22unit%22%3A%2221921661-1186-16%22%2C%22text%22%3A%22Hole%C4%8Dkova%201186%2F73%2C%20Praha%22%7D,"Byt 3+kk, 121 m2","14 200 000 Kč
117 355 Kč/m2",14.3907829803395,50.07282072064774
Prodáno 16. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.163593475850746%2C14.305775761729805%5D%2C%22unit%22%3A%2225586866-709-16%22%2C%22text%22%3A%22Bo%C5%BEeny%20N%C4%9Bmcov%C3%A9%20709%2C%20Velk%C3%A9%20P%C5%99%C3%ADlepy%22%7D,"Byt 2+kk, 47 m2","4 555 000 Kč
97 329 Kč/m2",14.305775761729,50.163593475850746
Prodáno 16. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.05796758855495%2C14.498052872066415%5D%2C%22unit%22%3A%2222391941-2455-54%22%2C%22text%22%3A%22Ostru%C5%BEinov%C3%A1%202455%2F11%2C%20Praha%22%7D,"Byt 2+kk, 53 m2","4 950 000 Kč
93 396 Kč/m2",14.4980528720664,50.05796758855495
Prodáno 15. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.04314122650474%2C14.552037237926287%5D%2C%22unit%22%3A%2222405771-408-55%22%2C%22text%22%3A%22Nad%20p%C5%99ehradou%20408%2C%20Praha%22%7D,"Byt 3+1, 72 m2","6 330 000 Kč
88 285 Kč/m2",14.5520372379262,50.04314122650474
Prodáno 15. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.060896251639576%2C14.279807064013985%5D%2C%22unit%22%3A%2226640775-433-324%22%2C%22text%22%3A%22V%C4%9Bstonick%C3%A1%20433%2F3%2C%20Praha%22%7D,"Byt 2+kk, 50 m2","6 200 000 Kč
123 753 Kč/m2",14.279807064013,50.060896251639576
Prodáno 14. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.18479052119348%2C15.028223848988327%5D%2C%22unit%22%3A%2218160204-2047-9%22%2C%22text%22%3A%22Jurije%20Gagarina%202046%2C%20Nymburk%22%7D,"Byt 3+1, 60 m2","3 600 000 Kč
60 504 Kč/m2",15.0282238489883,50.18479052119348
Prodáno 14. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.0574073021651%2C14.467222869356915%5D%2C%22unit%22%3A%2227194965-1515-340%22%2C%22text%22%3A%22V%20dolin%C4%9B%201515%2F1b%2C%20Praha%22%7D,"Byt 2+kk, 49 m2","6 900 000 Kč
139 959 Kč/m2",14.46722286935691,50.0574073021651
Prodáno 14. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.18609523990252%2C15.03109467409841%5D%2C%22unit%22%3A%221233386-2077-19%22%2C%22text%22%3A%22Gener%C3%A1la%20Anton%C3%ADna%20Sochora%202077%2C%20Nymburk%22%7D,"Byt 2+kk, 44 m2","3 365 000 Kč
75 959 Kč/m2",15.0310946740984,50.18609523990252
Prodáno 14. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.05903919071353%2C14.446153688058676%5D%2C%22unit%22%3A%2221786810-1472-2%22%2C%22text%22%3A%22Vy%C5%A1%C5%A1%C3%AD%201472%2F5%2C%20Praha%22%7D,"Byt 1+kk, 30 m2","3 617 000 Kč
120 567 Kč/m2",14.4461536880586,50.05903919071353
Prodáno 14. 6. 2022,https://www.reas.cz/atlas?search=%7B%22point%22%3A%5B50.071569937965776%2C14.405643815415173%5D%2C%22unit%22%3A%2221913803-302-13%22%2C%22text%22%3A%22Na%20b%C4%9Blidle%20302%2F27%2C%20Praha%22%7D,"Byt 1+kk, 37 m2","3 890 000 Kč
106 575 Kč/m2",14.405643815415,50.071569937965776
